,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,1/22/20,0,0,0,0,0,0,0
1,1/23/20,0,0,0,0,0,0,0
2,1/24/20,0,0,0,0,0,0,0
3,1/25/20,0,0,0,0,0,0,0
4,1/26/20,0,0,0,0,0,0,0
5,1/27/20,0,0,0,0,0,0,0
6,1/28/20,0,0,0,0,0,0,0
7,1/29/20,0,0,0,0,0,0,0
8,1/30/20,0,0,0,0,0,0,0
9,1/31/20,2,0,0,2,0,0,0
10,2/1/20,2,0,0,0,0,0,0
11,2/2/20,2,0,0,0,0,0,0
12,2/3/20,2,0,0,0,0,0,0
13,2/4/20,2,0,0,0,0,0,0
14,2/5/20,2,0,0,0,0,0,0
15,2/6/20,2,0,0,0,0,0,0
16,2/7/20,3,0,0,1,0,0,0
17,2/8/20,3,0,0,0,0,0,0
18,2/9/20,3,0,0,0,0,0,0
19,2/10/20,8,0,0,5,0,0,0
20,2/11/20,8,0,0,0,0,0,0
21,2/12/20,9,0,1,1,0,1,1
22,2/13/20,9,0,1,0,0,0,0
23,2/14/20,9,0,1,0,0,0,0
24,2/15/20,9,0,1,0,0,0,0
25,2/16/20,9,0,8,0,0,7,7
26,2/17/20,9,0,8,0,0,0,0
27,2/18/20,9,0,8,0,0,0,0
28,2/19/20,9,0,8,0,0,0,0
29,2/20/20,9,0,8,0,0,0,0
30,2/21/20,9,0,8,0,0,0,0
31,2/22/20,9,0,8,0,0,0,0
32,2/23/20,9,0,8,0,0,0,0
33,2/24/20,13,0,8,4,0,0,0
34,2/25/20,13,0,8,0,0,0,0
35,2/26/20,13,0,8,0,0,0,0
36,2/27/20,15,0,8,2,0,0,0
37,2/28/20,20,0,8,5,0,0,0
38,2/29/20,23,0,8,3,0,0,0
39,3/1/20,36,0,8,13,0,0,0
40,3/2/20,40,0,8,4,0,0,0
41,3/3/20,51,0,8,11,0,0,0
42,3/4/20,85,0,8,34,0,0,0
43,3/5/20,115,1,8,30,1,0,1
44,3/6/20,163,2,8,48,1,0,1
45,3/7/20,206,2,18,43,0,10,10
46,3/8/20,273,3,18,67,1,0,1
47,3/9/20,321,4,18,48,1,0,1
48,3/10/20,382,6,18,61,2,0,2
49,3/11/20,456,8,18,74,2,0,2
50,3/12/20,456,8,18,0,0,0,0
51,3/13/20,798,8,18,342,0,0,0
52,3/14/20,1140,21,18,342,13,0,13
53,3/15/20,1140,21,18,0,0,0,0
54,3/16/20,1543,55,20,403,34,2,36
55,3/17/20,1950,55,52,407,0,32,32
56,3/18/20,2626,71,65,676,16,13,29
57,3/19/20,2689,137,65,63,66,0,66
58,3/20/20,3983,177,65,1294,40,0,40
59,3/21/20,5018,233,65,1035,56,0,56
60,3/22/20,5683,281,65,665,48,0,48
61,3/23/20,6650,335,65,967,54,0,54
62,3/24/20,8077,422,135,1427,87,70,157
63,3/25/20,9529,465,135,1452,43,0,43
64,3/26/20,11658,578,135,2129,113,0,113
65,3/27/20,14543,759,135,2885,181,0,181
66,3/28/20,17089,1019,135,2546,260,0,260
67,3/29/20,19522,1228,135,2433,209,0,209
68,3/30/20,22141,1408,135,2619,180,0,180
69,3/31/20,25150,1789,135,3009,381,0,381
70,4/1/20,29474,2352,135,4324,563,0,563
71,4/2/20,33718,2921,135,4244,569,0,569
72,4/3/20,38168,3605,135,4450,684,0,684
73,4/4/20,41903,4313,135,3735,708,0,708
74,4/5/20,47806,4934,135,5903,621,0,621
75,4/6/20,51608,5373,135,3802,439,0,439
76,4/7/20,55242,6159,135,3634,786,0,786
77,4/8/20,60733,7097,135,5491,938,0,938
